Bubble Tea Shop,Latitude,Longitude,Place ID,Number of Nearby Colleges,Nearby Colleges,Average Distance to Colleges (m),Shortest Distance to Colleges (m),Number of Nearby Schools,Nearby Schools,Average Distance to Schools (m),Shortest Distance to Schools (m)
Bubble Tea Shop,45.47322,-73.600918,ChIJGdlgCcoRyUwRnJdnwvw2hqU,1,['Stone Hon. Paul Gerin - Lajiue'],1200.0,1200.0,44,"['Centre des arts visuels / The Visual Arts Centre', 'Westmount Park Elementary School', 'CPA Gadbois', ""Ieoq - Institut D'enseignement De L'ostéopathie Du Québec"", 'Centre Saint-Paul', 'Saint-Zotique Elementary School', 'N C J Educational Services', 'Preschool Blossom Academy', 'James Lyng Adult Education Centre', 'Church Prayer Palace', 'Ropasom', 'Montreal Oral School for the Deaf, Inc.', 'Garderie Montessori Westmount', 'École de DJ la Roue de Camelot', ""Nursery Mina's small treasures Inc."", 'Darriet F', 'Harmonie Musicothérapie', 'Ics Canada High School', 'roslyn mountainside', 'MaFa Studio', 'Express Voice Studio NDG', 'Singing Lessons with Tamar and Geoff', 'The Westmount Piano Studio', '成人英文学校', 'Enfance Pour Tous Upper Lachine', 'Outreach High School', 'Saint-Léon-de-Westmount School - Charlevoix Extension', 'Mini-Med School', '가나다 한국어 학교', 'FCCCQ', '教育局', 'GANADA Korean Language School', 'Institute Somatraining', 'Garderie Éducative Autour Du Monde', '桐桐学校', 'Centennial Academy', 'Primary School Saint-Raymond', 'Jonathan Stein', 'MacKay School for the Deaf', 'Studio 222', '忻忻学校', 'Chapman Piano Studio NDG/Westmount - Cours de Piano et Guitare', ""School Saint-Luc - Annexe Prud'homme"", 'Les Petits Trésors']",1166.840909090909,589
Real Fruit Bubble Tea,45.5281968,-73.6481237,ChIJjZnSgWcZyUwRadG4smP-FvA,0,[],,,13,"['OnlinePastryTrainingSchool.com', 'Centre Musical Métropolitain', 'The Ali Ibn Abi Talib School', 'Sinclair Laird Elementary School', 'Educ-Action', 'St. Raphael School', 'Nursery', 'Dao Pham Piano', 'Canadian Barista Institute - Montreal Lab', 'Garderie Daycare', 'Langdon Daycare Center', 'Tricots Symar', 'Barclay Primary School']",1270.6923076923076,849
OCHA,45.4944114,-73.5788549,ChIJr1LHuxkbyUwRujQmeAk5C2g,57,"['Collège of Montréal', 'Collège LaSalle', ""O'Sullivan College"", 'Concordia University', 'Dawson College', 'Desautels Faculty of Management, McGill University', 'Académie Michèle-Provost', 'Middle School Inter-Dec', 'JIS education 菁华学院', 'Concordia Bootcamps', 'Immersive and Creative Technologies Lab, Concordia University', 'Herzing College Montreal', 'Lasalle Service', 'Middle School De Montréal', 'McGill Executive Institute', 'Canada College', 'Ordre Des Geologues', 'McGill', 'John Molson School of Business', 'Newman Centre of McGill University', 'IISE Concordia Chapter', 'Faubourg Tower', 'JMSB', 'FiQbe', ""Concordia University's Centre for Creative Reuse"", 'Pavillon Ev Building', 'Concordia University ER Building', 'CENPARMI - Concordia University', 'Centre arts et santé de Concordia', 'Grey Nuns Building, classroom entrance', 'Concordia University Department of Computer Science and Software Engineering', 'matralab', '4TH SPACE, Concordia University', 'LB Building, Concordia University', 'Concordia Card Services - Student ID', 'Sir George Williams Campus', 'Concordia Model United Nations Conference', 'H Building Concordia University', 'Conservative Concordia', 'GCES', 'MCMT College of Science', 'Veritas College of Technology Inc.', 'Concordia University VA Building', 'UNIVERSITE DE MONTREAL', 'Université McGill', 'Canada college new campus', 'COLLÈGE CANADA', ""Canada College - King's Campus"", 'S et G', 'TAC College Solutions Inc', 'Stewart Biology Building - McGill University 🎓🏫', 'Hosmer House Annex', 'Divison of Child Psychiatry, McGill University', 'CEGEP', 'Education Canada College', 'Broadway Academy', 'McGill Art Hive']",568.2456140350877,70.0,60,"['Collège of Montréal', 'Académie Michèle-Provost', 'EC Montreal English Language School', 'LAB Montreal - Languages Across Borders', 'Middle School Inter-Dec', 'Summit T E C C', 'Fleur de Lys (Linguistic Services)', ""Let's Go First Aid"", '法语认证班 - 双维国际菁英教育', '四海同游', 'ISART Digital Montréal Inc', 'School of Community and Public Affairs, Concordia University', 'Herzing College Montreal', 'Medhat Hanbali - Film Composer', 'Academie', 'Grade Gurus', 'Alima, Centre de nutrition sociale périnatale (anciennement Dispensaire diététique de Montréal)', 'CPE Genesis', 'Collège MEGA', 'Zumba Montreal', 'Canadian Institute For Health', 'Garderie Rainbow Daycare', 'General Physics Corporation', ""Conseil des Fonds d'Investissement du Québec"", 'McGill University Office of Sustainablity', 'National Truck Driving School Downtown MTL. Guy. C', 'McGill CPE', 'Centennial College', 'The Sacred Heart School of Montreal', 'Academie Internationale De', 'Trafalgar School for Girls', 'Japanese Language School In Montreal', 'McGill University - Faculty of Law', 'Studio Vandendool (Guitar lessons)', 'Beyond Education Canada', 'Fraser Institute', 'Escuela de Inglés en Montreal', 'Concordia University, Toronto - Dominion Building', 'Concordia University FG building', 'Qin Academy', 'Concordia Continuing Education', ""Jiacheng International Centre D'échange Culture"", 'Department of Education', 'School FB Building', 'MB Concordia University - School of Business', 'Mel Hoppenheim School of Cinema', 'Concordia University, John Molson Building', 'FB building', 'Centre International de Langue Sishu', 'FENGYE College Center', 'Concordia University, Guy - De Maisonneuve Building', 'Victoria School', 'GM building', 'Monbec', 'Express Voice Studio. Cours de Chant Downtown', 'Grey Nuns Building', 'Conference Services', 'Al Madinah Mosque', 'Concordia University Learning Square (LS)', 'Simone de Beauvoir Institute']",465.1666666666667,3
Bubble Tea Shop,45.5017799,-73.56017,ChIJG1Njs2sbyUwRlglb_KzPvyo,29,"['École de technologie supérieure ÉTS', 'ISI, Higher Institute of Computer Science', 'NAD - École des arts numériques, de l’animation et du design', 'Elite Consultation & Formation Association', 'School Show-Business', 'Maison des étudiants - Pavillon E , ETS', 'Education Canada College', 'EMBA McGill - HEC Montreal', 'Startup Playground', 'HEC Montréal - Édifice Hélène-Desmarais', 'École des dirigeants HEC Montréal', 'Voyages En Direct University', 'Ferrier Building 2', 'college', 'SKYWAYS AVIATION', 'Geodar', 'CGH College', 'Mcit', 'ÉTS Residence Hall Phase 1 and 2', ""Carrefour d'innovation INGO (ETS)"", 'Cemiar Technologie', 'ETS, Pavillon A', 'School of Technology Superior - ETS Building B', ""Majlis ta'lim Nurul mangsub"", 'ÉTS Formation', 'Volumes College', 'mcgill', 'React Academy', 'Sahar']",843.2413793103449,179.0,60,"['Imagination Preschool & Nursery', 'EFPHQ Vocational Training School In Hypnotherapy', 'Adult Education and Vocational Training Network', 'School Show-Business', 'Axion 21 Centre Linguistique', 'Elite Québec', 'Gemmological Institute of Montreal', 'Blitz Tutorat', 'UQAM', 'Superior Technical University - ETS, Pavillon B', 'General Physics Corporation', 'Bonne Aventure Preschool Daycare', 'Canadian Institute For Health', 'MLS Inc', 'Superior College Of Montreal, Inc.', 'Zumba Montreal', 'Ubisoft Campus', 'Academie Bar Pro', 'Place Aux Jeunes Du Quebec', 'Ela Jambo', 'Training Au Square', 'School of architecture, McGill University', 'Artilena, Music School', 'Lo & Co', 'Fusion Youth', 'Dokoma', 'Vision Nova Lingua', 'Camp By Day Photo-Entrequatreyeux', 'hi', 'Maison blanche', 'ilsc', 'School Dd Technology Superieure', 'L’Academie internationale de la conférence', 'Old Boucheron Language School (1988)', 'School', '학회장', 'Isi - Cegep', 'Training Center Éducagir', 'Espi Campus Montréal', 'Réseau Archéo-Québec', '语言学校', 'Escuela Canada', 'Sosprof', 'Zoom Académie', 'concordia', 'Stanilas', 'School Laughter De Montréal', 'Carnation', 'Cégep du vieux Montréal', 'Louis Belley', 'Ecole Tecnick', 'The testing location', 'Coronation primary', 'Kitem', 'College La Perle', 'OTA Inc.', 'Middle School', 'Daku', 'San Pedro', 'Manjhiyawan bhonatoli']",634.65,177
Presotea Lasalle,45.44045240000001,-73.6222118,ChIJ-5uMFkgRyUwRQjoJSVO987o,0,[],,,11,"['École Montessori de Montréal', 'Wonderland Preschool', 'LaSalle Elementary School - Junior Campus', ""Children's World Academy"", 'Terre-des-Jeunes Elementary School', 'UCMAS Abacus and Mental Math Program', 'Blue Penguin', 'Workshops Municipaux André-Traversy', 'Orée-du-Parc Primary School', 'Saint Lawrence Academy', 'Centre Préscolaire Montessori']",1101.1818181818182,205
Kung Fu Tea Montreal (Vieux-Montréal),45.5053411,-73.5565033,ChIJWc4eP90byUwREgXjg-EOJiM,21,"['University of Quebec in Montreal', 'ISI, Higher Institute of Computer Science', 'School Show-Business', 'NAD - École des arts numériques, de l’animation et du design', ""Institut de Recherches et d'Études Féministes (IREF)"", ""École de design de l'UQAM"", 'EMBA McGill - HEC Montreal', 'Startup Playground', 'CGH College', 'Pinacoteca', 'React Academy', 'HEC Montréal - Édifice Hélène-Desmarais', 'École des dirigeants HEC Montréal', 'mcgill', 'UQAM pavillon V', 'Registrariat - UQAM', 'Voyages En Direct University', 'Ferrier Building 2', 'college', 'CHOQ.ca', 'Volumes College']",1018.047619047619,394.0,60,"['Imagination Preschool & Nursery', 'EFPHQ Vocational Training School In Hypnotherapy', 'Elite Québec', 'Axion 21 Centre Linguistique', 'School Show-Business', 'Gemmological Institute of Montreal', 'Observatory Compétences-Emplois', 'Fashion College ESG UQÀM, in Partnership with the UQÀM Faculty of Arts', 'Adult Education and Vocational Training Network', 'UQAM', 'MLS Inc', 'Superior College Of Montreal, Inc.', 'Ubisoft Campus', 'Place Aux Jeunes Du Quebec', 'Academie Bar Pro', '语言学校', 'Escuela Canada', 'Espi Campus Montréal', 'Kitem', 'OTA Inc.', 'Bar School', 'Maison blanche', 'L’Academie internationale de la conférence', 'Camp By Day Photo-Entrequatreyeux', '학회장', 'Old Boucheron Language School (1988)', 'soccer', 'Dokoma', 'Réseau Archéo-Québec', 'Vision Nova Lingua', 'ilsc', 'Formation BartendOne', 'Isi - Cegep', 'School of architecture, McGill University', 'Ela Jambo', 'Fusion Youth', 'CGH College', 'School Dd Technology Superieure', 'hi', 'Training Au Square', 'CPE', 'Lo & Co', 'Artilena, Music School', 'School', 'H', 'Immigration Canada', 'Training Center Éducagir', 'Jam Vocal Academy', 'Galerie Bejo', 'Matthew Lui Kung Fu', 'School Alexandra', 'Ecole de management INSA School of Management', ""Centre d'évaluation de compétences linguistiques (CECL-UQAM)"", 'College La Perle', 'Kendrick garderie', 'School Circus', 'concordia', 'Stanilas', 'School Laughter De Montréal', 'Carnation']",756.15,65
Presotea,45.4962109,-73.62237809999999,ChIJ85yPT8gZyUwRP4ILdax0-WE,38,"['College Jean-de-Brebeuf', 'HEC Montreal', 'Faculty of Continuing Education of the University of Montreal', 'Centre for International Peace and Security Studies', 'UdeM - Reception and study management service', 'University of Montreal Bookstore - Jean-Brillant Pavilion', ""Centre de l'engagement étudiant"", 'Editions Themis Universite', 'UdeM – Pavillon Jean-Coutu', 'UdeM – Roger-Gaudry Pavillon', 'International Journal of Arts Management', 'UdeM – Faculté de droit', 'Marie of France International College', 'Clinique universitaire de la vision | Université de Montréal', 'Appartements La Sorbonne (Les)', 'Université de Montréal Office of Communications and Public Relations', ""École d'optométrie | Université de Montréal"", 'Université de Montréal - Office of Research Services and Development', 'Decelles Building', 'UdeM – Lionel-Groulx Pavilion', 'SAFIRE', 'Faculté des arts et des sciences - Département d’anthropologie', 'Faculté des arts et des sciences - École de bibliothéconomie et des sciences de l’information', 'Faculté des arts et des sciences - Département d’informatique et de recherche opérationnelle', 'Club Art Social Brébeuf', 'UdeM – Samuel-Bronfman Pavillon', 'Brébeuf', 'ACPUM', 'University of Montreal', 'University of Montreal - Paul-G-Desmarais Building', 'Bibliothèque de mathématiques et informatique', 'UdeM – André-Aisenstadt Pavillon', ""Centre Interuniversitaire de Recherche sur les Réseaux d'Entreprise, la Logistique et le Transport (CIRRELT)"", 'Pavillon Claire McNicoll', 'Chaire de gestion des arts Carmelle et Rémi-Marcoux HEC Montréal', 'LABORATORY FOR THE STUDY OF CALCIFIED TISSUES AND BIOMATERIALS', 'Chaire UNESCO en paysage urbain', 'University of Montréal - Faculty of Environmental Design']",703.9736842105264,142.0,49,"['College Jean-de-Brebeuf', 'HEC Montreal', 'Notre-Dame College', 'Garderie Métropolitain', 'Simonne-Monet School', 'Aélum', 'International School Marie de France', 'Free Hebrew for Juniors', 'QuébecGuitare.com - Cours de Guitare Privé & Suivi en Ligne', 'Garderie Les Enfants Du Pommier', 'Villa Sainte-Marcelline', 'École de Théologie Évangélique du Québec', 'Notre-Dame-des-Neiges Elementary School', 'Parking', 'Hihi', 'Cpe', 'Barber Joseph', 'Ciqss', 'School Entre Les Lignes', '준휘학교', 'Yaya Garderie', 'Marie-Victorin', 'Manga Montréal', 'Tommaso', 'UdeM – Lionel-Groulx Pavilion', 'BBF', 'ICAJ', '泾大学预科', 'Maîtrise des Petits Chanteurs du Mont-Royal', 'Coop Bécik atelier de vélo', 'Job Chsld', 'Jasmeet', 'Parking Essaie 1', 'Cpe Chateau Des Neiges. Flag Chateau Des Neiges', 'Emica College', 'Aefe School', 'Church Nativité', 'Collège international des Marcellines', 'École maternelle Collège international Marie de France', 'ETEQ College', 'Atmique', 'Association Marketing HEC Montréal', 'Garderie Qwaqwaq', 'CPE Hôpital Sainte Justine 2eme installation', 'United Talmud Torahs of Montreal Inc. (Snowdon School)', 'Jaren the Voiceover', 'Talmud Torah Elementary School', 'Nursery Chez Mouna', 'Ecole Azreli']",785.5714285714286,127
C’est du Thé / ITS TEA,45.49667849999999,-73.5749001,ChIJU8XBzsQbyUwRm_nsQDttDGE,60,"['Collège of Montréal', 'McGill University', ""O'Sullivan College"", 'Collège LaSalle', 'Concordia University', 'Desautels Faculty of Management, McGill University', 'École de technologie supérieure ÉTS', 'McGill Executive Institute', 'Middle School Inter-Dec', 'Académie Michèle-Provost', 'Elite Consultation & Formation Association', 'JIS education 菁华学院', 'Immersive and Creative Technologies Lab, Concordia University', 'Concordia Bootcamps', 'Canada College', 'Ordre Des Geologues', 'Herzing College Montreal', 'McGill University Safety', 'McGill University Service Point', 'McGill', 'Lasalle Service', 'English and French Language Programs', 'Department of East Asian Studies', 'Department of Atmospheric and Oceanic Sciences', 'McGill School of Continuing Studies', 'Middle School De Montréal', 'Newman Centre of McGill University', 'Résidences ETS', 'Maison des étudiants - Pavillon E , ETS', 'Education Canada College', 'Stewart Biology Building - McGill University 🎓🏫', 'John Molson School of Business', 'Laval University - Montreal Office', 'IISE Concordia Chapter', 'MCMT College of Science', 'Université McGill', 'Concordia University VA Building', 'COLLÈGE CANADA', ""Canada College - King's Campus"", 'Canada college new campus', 'LB Building, Concordia University', 'Concordia Card Services - Student ID', 'Pavillon Ev Building', '4TH SPACE, Concordia University', 'matralab', 'FiQbe', 'Sir George Williams Campus', 'H Building Concordia University', 'Faubourg Tower', 'Conservative Concordia', ""Concordia University's Centre for Creative Reuse"", 'JMSB', 'TAC College Solutions Inc', 'GCES', 'Concordia University Department of Computer Science and Software Engineering', 'Centre arts et santé de Concordia', 'Concordia Model United Nations Conference', 'Concordia University ER Building', 'CENPARMI - Concordia University', 'Grey Nuns Building, classroom entrance']",688.6833333333333,48.0,60,"['Collège of Montréal', 'EC Montreal English Language School', 'MLS', 'LAB Montreal - Languages Across Borders', 'Middle School Inter-Dec', 'Académie Michèle-Provost', 'General Physics Corporation', 'Summit T E C C', ""Conseil des Fonds d'Investissement du Québec"", 'Medhat Hanbali - Film Composer', 'ISART Digital Montréal Inc', '四海同游', '法语认证班 - 双维国际菁英教育', 'Academie', 'Collège MEGA', 'Grade Gurus', 'Zumba Montreal', 'Canadian Institute For Health', 'School of Community and Public Affairs, Concordia University', 'Herzing College Montreal', 'Fleur de Lys (Linguistic Services)', ""Let's Go First Aid"", 'McGill University Office of Sustainablity', 'McGill CPE', 'Blitz Tutorat', 'CPE Genesis', 'Adult Education and Vocational Training Network', 'McGill University - Faculty of Law', 'Berlitz Montréal Learning Centre', 'McGill School of Continuing Studies', 'Superior Technical University - ETS, Pavillon B', 'National Truck Driving School Downtown MTL. Guy. C', 'Garderie Rainbow Daycare', 'FARMM', 'Academie Internationale De', 'Trafalgar School for Girls', 'Alima, Centre de nutrition sociale périnatale (anciennement Dispensaire diététique de Montréal)', 'Fraser Institute', 'Japanese Language School In Montreal', 'Centennial College', 'Beyond Education Canada', 'Fac Mtl', 'Garderie Bishop', 'Al Madinah Mosque', 'J.W. McConnell Pavillion', 'Concordia Print Shop', 'Conference Services', 'Concordia Tour', 'FB building', 'Asm Le Studio Acting School', 'Mel Hoppenheim School of Cinema', 'Hall Building Auditorium', 'Concordia Ffar', 'School FB Building', 'GM building', 'Parking Moto', 'Concordia University, Guy - De Maisonneuve Building', 'Concordia Continuing Education', 'Q Annex Building', 'T Annex Building']",673.45,143
IBoBa Thé,45.557938,-73.65942179999999,ChIJW-IGLtcZyUwRiwC2MFJWyPY,3,"['Cégep De La Gaspésie Et Des Îles - Campus Montréal', 'Cegep college', 'Centre de réadaptation en dépendance de Montréal – Institut universitaire']",1077.6666666666667,940.0,31,"['École Fernand-Seguin, Pavillon Hubert-Reeves', 'Formations Yoga - Académie En Soi', 'Louis Colin Elementary School', 'École Félix-Antoine', ""Cours de Chant / Académie d'art Vocal"", 'Les Tricoteuses Du Quartier Wool shop and school', 'Cours Classe 2 Montreal', 'École Sophie-Barat', ""Ecole D'Italien Giovanni Pascoli School of Italian"", 'Centre Osteopathique Du Quebec', 'L’ÉCOLE DE GUITARE MARC DIONNE', ""School Arts And Music D'ahuntsic"", 'Saint-Paul-de-la-Croix School', 'École Fernand-Seguin, Pavillon Julie-Payette', 'Pierre Major Music Lessons', 'Ecole Bulgare St. Kliment Ohridski', 'Paradis des Petites Étoiles', 'Nursery Les Petites Fleurs', 'Limpieza Parque', 'St Louis Reborn', 'Sophie-Barat Secondary School - Annex', 'Piano Yanick Provencher', 'Music School Galipeau', 'Cours de conduite adapté', 'Training Center Vehicles Heavy De Montréal', 'Mother School', 'Bern', 'Ccc Immigration', 'Académie de danse Makam - Makam Dance Academy', 'Ahuntsic Elementary School - Annex', 'School Secondary Duval Inc.']",795.8064516129032,164
COCO Fresh tea & Juice NDG store,45.4985432,-73.6268012,ChIJ9d0MkEYZyUwRZkj4KRq3sUE,39,"['College Jean-de-Brebeuf', 'HEC Montreal', 'Faculty of Continuing Education of the University of Montreal', 'Centre for International Peace and Security Studies', 'International Journal of Arts Management', 'UdeM - Reception and study management service', 'University of Montreal Bookstore - Jean-Brillant Pavilion', ""Centre de l'engagement étudiant"", 'Editions Themis Universite', 'UdeM – Roger-Gaudry Pavillon', 'UdeM – Faculté de droit', 'UdeM – Pavillon Jean-Coutu', 'Appartements La Sorbonne (Les)', 'Clinique universitaire de la vision | Université de Montréal', 'Chaire de gestion des arts Carmelle et Rémi-Marcoux HEC Montréal', 'Club Art Social Brébeuf', 'Brébeuf', 'Université de Montréal Office of Communications and Public Relations', 'Université de Montréal - Office of Research Services and Development', ""École d'optométrie | Université de Montréal"", 'ACPUM', 'Decelles Building', 'UdeM – Lionel-Groulx Pavilion', 'SAFIRE', 'Faculté des arts et des sciences - Département d’anthropologie', 'Faculté des arts et des sciences - École de bibliothéconomie et des sciences de l’information', 'Faculté des arts et des sciences - Département d’informatique et de recherche opérationnelle', 'Chaire UNESCO en paysage urbain', 'University of Montreal', 'University of Montréal - Faculty of Environmental Design', 'UdeM – Samuel-Bronfman Pavillon', 'University of Montreal - Paul-G-Desmarais Building', 'Pavillon Claire McNicoll', 'Marie of France International College', 'Bibliothèque de mathématiques et informatique', 'UdeM – André-Aisenstadt Pavillon', ""Centre Interuniversitaire de Recherche sur les Réseaux d'Entreprise, la Logistique et le Transport (CIRRELT)"", 'LABORATORY FOR THE STUDY OF CALCIFIED TISSUES AND BIOMATERIALS', 'Benoît Lacroix Space']",953.7948717948718,321.0,59,"['College Jean-de-Brebeuf', 'HEC Montreal', 'Notre-Dame College', 'Garderie Métropolitain', 'Simonne-Monet School', 'Free Hebrew for Juniors', 'Aélum', 'Ecole de Coiffure International Hair School', 'UCMAS Abacus & Mental Math School', 'International School Marie de France', 'GCI Finance', 'Programme Mile End High School', 'Coronation Elementary School', 'École primaire Saint-Pascal-Baylon (CSSDM)', 'Tommaso', 'Barber Joseph', 'Manga Montréal', 'Marie-Victorin', 'Coop Bécik atelier de vélo', '泾大学预科', 'Garderie Qwaqwaq', 'Notre-Dame-des-Neiges Elementary School', 'Hihi', 'Church Nativité', 'Yaya Garderie', 'BBF', 'Jaren the Voiceover', 'Association Marketing HEC Montréal', 'Parking', 'CPE Hôpital Sainte Justine 2eme installation', 'UdeM – Lionel-Groulx Pavilion', 'Cpe', 'Parking Essaie 1', 'School Entre Les Lignes', '준휘학교', 'Ciqss', 'Emica College', 'Atmique', 'ICAJ', 'ESIDEM - International School of Montreal', 'Genie Calcul Mental', 'Nursery Le Cocon Du Bonheur 2', 'Adult Education Program', 'MiA Services Canada', 'Cpe Chateau Des Neiges. Flag Chateau Des Neiges', 'Job Chsld', 'Jasmeet', 'Les Petits Paons inc.', 'Garderie Familial', 'Maîtrise des Petits Chanteurs du Mont-Royal', 'Tutorat Lachine', 'Aefe School', 'Ecolaire', 'Bulgare School', 'plamomdon school', 'École maternelle Collège international Marie de France', 'Externat Mont-Jésus-Marie', 'Ecole Azreli', 'Talmud Torah Elementary School']",889.2033898305085,167
Palgong Tea,45.521987,-73.6021773,ChIJD0hcH0EZyUwRCXfbaICpa4U,5,"['Projets Alpha Et Omega Inc (Les)', ""Studio d'acteurs Gilles Plouffe Actors Studio"", 'Institut Grasset', 'Alliance de la Fonction Publique', 'College Saint Michel']",909.0,558.0,49,"['Francais College', 'École De Sténographie Judiciaire', ""L'École des Premières Lettres"", 'Sainte-Anne College | Buissonniere, Preschool and Elementary', 'Lambert-Closse Elementary School', 'Art De Vivre', 'Numinus | Montreal | Laurier West', ""École De L'Étincelle"", ""Clinique De Lecture Et D'Ecriture"", 'Luciddavid Qi Gong', 'Cardinal', 'Studio D Montreal', 'Académie de musique Lauber', 'Shop Tibet À Montréal', 'Centre De Méditation Bouddhiste Tibétaine Paramita De Montréal', 'Center Musicians Du Monde', ""Ėcole JEM l'informatique"", 'Institut Grasset', 'PGLO High school', '(C A F E) Cours Autodidactique De Francais Ecrit', 'Lingo Canada', 'Louis Guitare', 'AEJEM', 'Maor Hagola Rabbinical College', 'NEW BELZ CHEIDER', 'Training Continue', 'New Querbes Primary School', 'Boutique de Tricot Les Laines Biscotte MONTREAL', 'Edifice Peck', 'Fairmount Daycare', 'edu2', 'Guitar School De Montréal', 'Belz Community High School', 'Lajoie Elementary School', 'Yeshiva Toras Moshe Academy of Montreal', 'Robert Gravel High School', 'Приходская школа им. А. С. Пушкина', 'E2m Equipment Medical Mobile', 'Talmud Torah Toldos Yakov Yosef Skver', 'Tristan Lauber Piano Studio', 'Aks Montreal', 'Centre Paramita Plateau', 'Chez Bino Dicolo', 'School Of Sas - Outremont Building', 'The Voice Box / La boîte à mots', 'Atelier du geste', 'Crèche & Maison', 'Pigeons International', 'Guy Drummond Primary School']",791.8367346938776,78
CoCo Fresh Tea & Juice CoCo thé et jus frais 都可珍珠奶茶,45.496652,-73.5759009,ChIJaSZ6A2IbyUwR6uaHoiRWEcU,60,"['Collège of Montréal', 'McGill University', 'Collège LaSalle', ""O'Sullivan College"", 'Concordia University', 'Desautels Faculty of Management, McGill University', 'Académie Michèle-Provost', 'Middle School Inter-Dec', 'McGill Executive Institute', 'Elite Consultation & Formation Association', 'McGill University Safety', 'JIS education 菁华学院', 'Immersive and Creative Technologies Lab, Concordia University', 'Concordia Bootcamps', 'Canada College', 'Ordre Des Geologues', 'Herzing College Montreal', 'McGill University Service Point', 'McGill', 'Lasalle Service', 'Middle School De Montréal', 'English and French Language Programs', 'Department of East Asian Studies', 'Department of Atmospheric and Oceanic Sciences', 'McGill School of Continuing Studies', 'Newman Centre of McGill University', 'Education Canada College', 'Stewart Biology Building - McGill University 🎓🏫', 'John Molson School of Business', 'IISE Concordia Chapter', 'MCMT College of Science', 'LB Building, Concordia University', 'Concordia Card Services - Student ID', '4TH SPACE, Concordia University', 'Université McGill', 'Concordia University VA Building', 'Pavillon Ev Building', 'matralab', 'Canada college new campus', 'COLLÈGE CANADA', ""Canada College - King's Campus"", 'Sir George Williams Campus', 'H Building Concordia University', 'FiQbe', 'Conservative Concordia', 'Faubourg Tower', 'JMSB', ""Concordia University's Centre for Creative Reuse"", 'GCES', 'Concordia University Department of Computer Science and Software Engineering', 'Centre arts et santé de Concordia', 'Concordia Model United Nations Conference', 'Concordia University ER Building', 'CENPARMI - Concordia University', 'TAC College Solutions Inc', 'Grey Nuns Building, classroom entrance', 'Hosmer House Annex', 'Veritas College of Technology Inc.', 'SKYWAYS AVIATION', 'McGill Art Hive']",593.9166666666666,96.0,60,"['Collège of Montréal', 'EC Montreal English Language School', 'Académie Michèle-Provost', 'MLS', 'LAB Montreal - Languages Across Borders', 'Middle School Inter-Dec', 'General Physics Corporation', 'Summit T E C C', ""Conseil des Fonds d'Investissement du Québec"", '四海同游', 'Medhat Hanbali - Film Composer', 'ISART Digital Montréal Inc', '法语认证班 - 双维国际菁英教育', 'Academie', 'Grade Gurus', 'School of Community and Public Affairs, Concordia University', 'Collège MEGA', 'Fleur de Lys (Linguistic Services)', 'Zumba Montreal', 'Canadian Institute For Health', 'Herzing College Montreal', ""Let's Go First Aid"", 'McGill University Office of Sustainablity', 'McGill CPE', 'CPE Genesis', 'Blitz Tutorat', 'McGill University - Faculty of Law', 'Adult Education and Vocational Training Network', 'Berlitz Montréal Learning Centre', 'National Truck Driving School Downtown MTL. Guy. C', 'McGill School of Continuing Studies', 'Alima, Centre de nutrition sociale périnatale (anciennement Dispensaire diététique de Montréal)', 'Garderie Rainbow Daycare', 'Academie Internationale De', 'FARMM', 'Superior Technical University - ETS, Pavillon B', 'Centennial College', 'Trafalgar School for Girls', 'Japanese Language School In Montreal', 'Fraser Institute', 'Beyond Education Canada', 'Fac Mtl', 'Garderie Bishop', 'Al Madinah Mosque', 'J.W. McConnell Pavillion', 'Concordia Print Shop', 'Concordia Tour', 'FB building', 'Hall Building Auditorium', 'Concordia Ffar', 'Conference Services', 'Mel Hoppenheim School of Cinema', 'Parking Moto', 'GM building', 'Concordia University, Guy - De Maisonneuve Building', 'Q Annex Building', 'School FB Building', 'T Annex Building', 'RR Annex', 'Concordia Continuing Education']",594.0333333333333,53
